codmpio,depto,mpio,found,source,found2,comments
5756,ANTIOQUIA,SONSON,1800,WEB.MUN,,
5761,ANTIOQUIA,SOPETRAN,1616,OTHER,,http://www.elcolombiano.com/opinion/columnistas/sopetran-400-anos-JC3664579
5789,ANTIOQUIA,TAMESIS,1858,BZ93,,
5790,ANTIOQUIA,TARAZA,1853,BZ93,,
5792,ANTIOQUIA,TARSO,1912,BZ93,,
5809,ANTIOQUIA,TITIRIBI,1815,WEB.MUN,,
5819,ANTIOQUIA,TOLEDO,1757,WEB.MUN,,
5837,ANTIOQUIA,TURBO,1840,BZ93,,
5842,ANTIOQUIA,URAMITA,1978,BZ93,,
5847,ANTIOQUIA,URRAO,1781,WEB.MUN,,http://www.urrao-antioquia.gov.co/noticias/urrao-237-anos-de-fundacion
5854,ANTIOQUIA,VALDIVIA,1849,BZ93,,
5856,ANTIOQUIA,VALPARAISO,1860,BZ93,,
5858,ANTIOQUIA,VEGACHI,1983,BZ93,,
5861,ANTIOQUIA,VENECIA,1898,BZ93,,
5873,ANTIOQUIA,VIGIA DEL FUERTE,1908,BZ93,,
5885,ANTIOQUIA,YALI,1888,BZ93,,
5887,ANTIOQUIA,YARUMAL,1785,OTHER,,http://bibliotecadigital.udea.edu.co/bitstream/10495/232/1/BiografiaYarumal.pdf
5890,ANTIOQUIA,YOLOMBO,1660,BZ93,,
5893,ANTIOQUIA,YONDO,1941,BZ93,,
5895,ANTIOQUIA,ZARAGOZA,1581,BZ93,,
8001,ATLANTICO,BARRANQUILLA,1629,BZ93,,
8078,ATLANTICO,BARANOA,1543,BZ93,,
8296,ATLANTICO,GALAPA,1867,BZ93,,
8421,ATLANTICO,LURUACO,1960,BZ93,,
8433,ATLANTICO,MALAMBO,1912,BZ93,,
8520,ATLANTICO,PALMAR DE VARELA,1806,BZ93,,
8549,ATLANTICO,PIOJO,1533,BZ93,,
8573,ATLANTICO,PUERTO COLOMBIA,1888,BZ93,,
8606,ATLANTICO,REPELON,1860,BZ93,,
8675,ATLANTICO,SANTA LUCIA,1967,BZ93,,
8770,ATLANTICO,SUAN,1905,BZ93,,
8832,ATLANTICO,TUBARA,1533,BZ93,,
8849,ATLANTICO,USIACURI,1534,BZ93,,
13001,BOLIVAR,CARTAGENA,1533,BZ93,,
13006,BOLIVAR,ACHI,1817,BZ93,,
13074,BOLIVAR,BARRANCO DE LOBA,1810,BZ93,,
13140,BOLIVAR,CALAMAR,1840,BZ93,,
13430,BOLIVAR,MAGANGUE,1610,BZ93,,
13433,BOLIVAR,MAHATES,1538,BZ93,,
13440,BOLIVAR,MARGARITA,1812,BZ93,,
