codmpio,depto,mpio,found,source,found2,comments
47318,MAGDALENA,GUAMAL,1746,BZ93,,
47555,MAGDALENA,PLATO,1754,BZ93,,
47675,MAGDALENA,SALAMINA,1765,BZ93,,
47692,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,1745,BZ93,,
47703,MAGDALENA,SAN ZENON,1750,BZ93,,
47798,MAGDALENA,TENERIFE,1543,BZ93,,
50001,META,VILLAVICENCIO,1860,WEB.MUN,,
50124,META,CABUYARO,1700,WEB.MUN,,
50370,META,URIBE,1865,WEB.MUN,,
50606,META,RESTREPO,1912,WEB.MUN,,
50683,META,SAN JUAN DE ARAMA,1555,BZ93,,
50689,META,SAN MARTIN,1550,BZ93,,
52001,NARIÑO,PASTO,1539,BZ93,,
52019,NARIÑO,ALBAN,1854,BZ93,,
52022,NARIÑO,ALDANA,1728,BZ93,,
52036,NARIÑO,ANCUYA,1544,BZ93,,
52051,NARIÑO,ARBOLEDA,1857,BZ93,,
52079,NARIÑO,BARBACOAS,1616,BZ93,,
52083,NARIÑO,BELEN,1985,BZ93,,
52110,NARIÑO,BUESACO,1761,BZ93,,
52203,NARIÑO,COLON,1905,BZ93,,
52207,NARIÑO,CONSACA,1870,BZ93,,
52210,NARIÑO,CONTADERO,1869,BZ93,,
52224,NARIÑO,CUASPUD,1911,BZ93,,
52227,NARIÑO,CUMBAL,1560,WEB.MUN,1925,Populated then recogniced as municipality
52233,NARIÑO,CUMBITARA,1968,BZ93,,
52250,NARIÑO,EL CHARCO,1890,BZ93,,
52256,NARIÑO,EL ROSARIO,1815,BZ93,,
52258,NARIÑO,EL TABLON DE GOMEZ,1760,BZ93,1834,
52260,NARIÑO,EL TAMBO,1573,BZ93,1713,Moved its location multiple times before 1713
52287,NARIÑO,FUNES,1616,WEB.MUN,,
52320,NARIÑO,GUAITARILLA,1676,BZ93,,
52323,NARIÑO,GUALMATAN,1830,BZ93,,
52352,NARIÑO,ILES,1711,BZ93,,
52354,NARIÑO,IMUES,1572,BZ93,,
52356,NARIÑO,IPIALES,1585,BZ93,,
52378,NARIÑO,LA CRUZ,1742,BZ93,,
52381,NARIÑO,FLORIDA,1820,BZ93,,
52399,NARIÑO,LA UNION,1830,BZ93,,
52405,NARIÑO,LEIVA,1977,BZ93,,
52411,NARIÑO,LINARES,1868,BZ93,,
52418,NARIÑO,LOS ANDES SOTOMAYOR,1845,WEB.MUN,,
52435,NARIÑO,MALLAMA,1550,WEB.MUN,1646,Populated then founded
52473,NARIÑO,MOSQUERA,1824,WEB.MUN,,
52506,NARIÑO,OSPINA,1664,BZ93,,
52560,NARIÑO,POTOSI,1550,BZ93,,
52573,NARIÑO,PUERRES,1825,BZ93,,
52585,NARIÑO,PUPIALES,1863,BZ93,,
52612,NARIÑO,RICAURTE,1880,WEB.MUN,,
52678,NARIÑO,SAMANIEGO,1837,WEB.MUN,,
52683,NARIÑO,SANDONA,1866,BZ93,,
52687,NARIÑO,SAN LORENZO,1810,BZ93,,
52693,NARIÑO,SAN PABLO,1763,BZ93,,
52696,NARIÑO,ISCUANDE,1600,WEB.MUN,,Today Santa Barbara-Iscuande
52699,NARIÑO,SANTA CRUZ,1869,BZ93,,
52720,NARIÑO,SAPUYES,1849,BZ93,,
52786,NARIÑO,TAMINANGO,1700,BZ93,,
52788,NARIÑO,TANGUA,1840,BZ93,,
52835,NARIÑO,TUMACO,1640,WEB.MUN,,
52838,NARIÑO,TUQUERRES,1541,BZ93,,
52885,NARIÑO,YACUANQUER,1539,BZ93,,
54001,NORTE DE SANTANDER,CUCUTA,1733,WEB.MUN,,
54003,NORTE DE SANTANDER,LA CRUZ,1810,WEB.MUN,,Today Abrego
54051,NORTE DE SANTANDER,ARBOLEDAS,1756,OTHER,,http://www.cucutanuestra.com/temas/geografia/municipios/region-centro/arboledas/arboledas.htm
54099,NORTE DE SANTANDER,BOCHALEMA,1759,WEB.MUN,,
54109,NORTE DE SANTANDER,BUCARASICA,1877,BZ93,,
54125,NORTE DE SANTANDER,CACOTA,1555,BZ93,,
54128,NORTE DE SANTANDER,CACHIRA,1811,BZ93,,
54172,NORTE DE SANTANDER,CHINACOTA,1535,WEB.MUN,,
54174,NORTE DE SANTANDER,CHITAGA,1804,WEB.MUN,,
54206,NORTE DE SANTANDER,CONVENCION,1829,BZ93,,
54223,NORTE DE SANTANDER,CUCUTILLA,1804,BZ93,,
54239,NORTE DE SANTANDER,DURANIA,1911,BZ93,,
54245,NORTE DE SANTANDER,EL CARMEN,1686,WEB.MUN,,
54313,NORTE DE SANTANDER,GRAMALOTE,1857,WEB.MUN,,
54344,NORTE DE SANTANDER,LA PALMA,1780,WEB.MUN,,Today Hacari
54347,NORTE DE SANTANDER,HERRAN,1860,WEB.MUN,,
54377,NORTE DE SANTANDER,LABATECA,1620,WEB.MUN,,
54398,NORTE DE SANTANDER,LA PLAYA,1580,BZ93,1857,
54405,NORTE DE SANTANDER,LOS PATIOS,1985,BZ93,,
54418,NORTE DE SANTANDER,LOURDES,1905,BZ93,,
54480,NORTE DE SANTANDER,MUTISCUA,1841,BZ93,,
54498,NORTE DE SANTANDER,OCAÑA,1573,BZ93,,
54518,NORTE DE SANTANDER,PAMPLONA,1549,BZ93,,
54520,NORTE DE SANTANDER,PAMPLONITA,1540,BZ93,,
54599,NORTE DE SANTANDER,RAGONVALIA,1860,BZ93,1877,
54660,NORTE DE SANTANDER,SALAZAR,1555,BZ93,,
54670,NORTE DE SANTANDER,SAN CALIXTO,1810,BZ93,,
54673,NORTE DE SANTANDER,SAN CAYETANO,1773,WEB.MUN,,Eartquake in 1875*
54680,NORTE DE SANTANDER,SANTIAGO,1742,WEB.MUN,,
54720,NORTE DE SANTANDER,SARDINATA,1906,WEB.MUN,,
54743,NORTE DE SANTANDER,SILOS,1530,BZ93,,
54800,NORTE DE SANTANDER,TEORAMA,1812,BZ93,,
54810,NORTE DE SANTANDER,TIBU,1975,BZ93,,
54820,NORTE DE SANTANDER,TOLEDO,1795,WEB.MUN,,
54871,NORTE DE SANTANDER,VILLA CARO,1859,BZ93,1869,
54874,NORTE DE SANTANDER,ROSARIO,1761,WEB.MUN,,Today Villa del Rosario
63001,CALDAS,ARMENIA,1889,BZ93,,
63130,CALDAS,CALARCA,1886,BZ93,,
63190,CALDAS,CIRCASIA,1884,WEB.MUN,,
63212,QUINDIO,CORDOBA,1927,BZ93,,
63272,CALDAS,FILANDIA,1878,OTHER,1540,https://quindio.gov.co/filandia/3933-filandia
63302,QUINDIO,GENOVA,1903,BZ93,,
63401,QUINDIO,LA TEBAIDA,1916,BZ93,,
63470,CALDAS,MONTENEGRO,1892,WEB.MUN,,
63548,CALDAS,PIJAO,1905,BZ93,,
63594,CALDAS,QUIMBAYA,1914,WEB.MUN,,
63690,CALDAS,SALENTO,1842,WEB.MUN,,
66001,CALDAS,PEREIRA,1863,WEB.MUN,,
66045,CALDAS,APIA,1884,BZ93,,
66075,CALDAS,BALBOA,1907,BZ93,,
66088,CALDAS,BELEN,1872,BZ93,,Before Mocatan. Today Belen de Umbria
66318,CALDAS,GUATICA,1638,WEB.MUN,,
66383,RISARALDA,LA CELIA,1914,BZ93,,
66400,RISARALDA,LA VIRGINIA,1904,BZ93,,
66440,CALDAS,MARSELLA,1860,WEB.MUN,,
66456,CALDAS,MISTRATO,1590,BZ93,,
66572,RISARALDA,PUEBLO RICO,1884,BZ93,,
66594,CALDAS,QUINCHIA,1842,BZ93,,
66682,CALDAS,SANTA ROSA DE CABAL,1844,WEB.MUN,,
66687,CALDAS,SANTUARIO,1886,WEB.MUN,,Before V. Tatama
68001,SANTANDER,BUCARAMANGA,1622,BZ93,,
68013,SANTANDER,AGUADA,1753,BZ93,,
68020,SANTANDER,ALBANIA,1903,BZ93,,
68051,SANTANDER,ARATOCA,1750,WEB.MUN,,
68077,SANTANDER,CITE,1539,WEB.MUN,1940,Today Barbosa
68081,SANTANDER,BARRANCABERMEJA,1536,BZ93,,
68092,SANTANDER,BETULIA,1844,BZ93,,
68101,SANTANDER,BOLIVAR,1844,BZ93,,
68132,SANTANDER,CALIFORNIA,1908,BZ93,,
68147,SANTANDER,CAPITANEJO,1804,BZ93,,
68152,SANTANDER,CARCASI,1772,BZ93,,
68160,SANTANDER,CEPITA,1751,WEB.MUN,,
68162,SANTANDER,CERRITO,1775,BZ93,,
68167,SANTANDER,CHARALA,1540,BZ93,,
68169,SANTANDER,CHARTA,1908,BZ93,,
68176,SANTANDER,CHIMA,1573,BZ93,1775,
68179,SANTANDER,CHIPATA,1536,BZ93,,
68190,SANTANDER,CIMITARRA,1905,BZ93,,
68211,SANTANDER,CONTRATACION,1861,BZ93,,
68217,SANTANDER,COROMORO,1840,BZ93,,
68229,SANTANDER,CURITI,1540,BZ93,,
68245,SANTANDER,EL GUACAMAYO,1928,BZ93,,
68255,SANTANDER,EL PLAYON,1984,BZ93,,
68264,SANTANDER,ENCINO,1786,BZ93,,
68266,SANTANDER,ENCISO,1762,BZ93,,
68271,SANTANDER,FLORIAN,1974,BZ93,,
68276,SANTANDER,FLORIDABLANCA,1809,BZ93,1596,Floridablanca VS florida
68296,SANTANDER,GALAN,1789,BZ93,,
68307,SANTANDER,GIRON,1631,BZ93,,
68318,SANTANDER,GUACA,1553,BZ93,,
68320,SANTANDER,GUADALUPE,1715,BZ93,,
68322,SANTANDER,GUAPOTA,1810,BZ93,,
68327,SANTANDER,GUEPSA,1700,BZ93,1750,
68344,SANTANDER,HATO,1825,BZ93,,
68368,SANTANDER,JESUS MARIA,1755,BZ93,,
68370,SANTANDER,JORDAN,1830,BZ93,,
68377,SANTANDER,LA BELLEZA,1975,BZ93,,
68385,SANTANDER,LANDAZURI,1900,BZ93,,
68397,SANTANDER,LA PAZ,1750,BZ93,,
68406,SANTANDER,LEBRIJA,1871,BZ93,,
68418,SANTANDER,LOS SANTOS,1750,BZ93,,
68425,SANTANDER,MACARAVITA,1772,BZ93,,
68432,SANTANDER,MALAGA,1542,BZ93,,
68444,SANTANDER,MATANZA,1720,BZ93,,
68464,SANTANDER,MOGOTES,1700,BZ93,,
68468,SANTANDER,MOLAGAVITA,1709,BZ93,,
68498,SANTANDER,OCAMONTE,1777,BZ93,,
68500,SANTANDER,OIBA,1625,BZ93,,
68522,SANTANDER,PALMAR,1785,BZ93,,
68533,SANTANDER,PARAMO,1537,BZ93,1768,
68547,SANTANDER,PIEDECUESTA,1766,BZ93,,
68549,SANTANDER,PINCHOTE,1784,BZ93,,
68572,SANTANDER,PUENTE NACIONAL,1569,BZ93,,
68573,SANTANDER,PUERTO PARRA,1981,BZ93,,
68575,SANTANDER,PUERTO WILCHES,1882,BZ93,,
68615,SANTANDER,RIONEGRO,1805,BZ93,,
68655,SANTANDER,SABANA DE TORRES,1975,BZ93,,
68669,SANTANDER,SAN ANDRES,1760,WEB.MUN,,
68673,SANTANDER,SAN BENITO,1751,BZ93,,
68679,SANTANDER,SAN GIL,1689,BZ93,,
68684,SANTANDER,MIRANDA,1915,WEB.MUN,,Moved its location multiple times 
68686,SANTANDER,SAN MIGUEL,1763,WEB.MUN,,
68689,SANTANDER,SAN VICENTE DE CUCHURI,1876,WEB.MUN,,
68705,SANTANDER,SANTA BARBARA,1975,BZ93,,
68720,SANTANDER,SANTA HELENA DEL OPON,1975,BZ93,,
68745,SANTANDER,SIMACOTA,1727,BZ93,,
68755,SANTANDER,SOCORRO,1671,BZ93,,
68770,SANTANDER,SUAITA,1699,BZ93,,
68773,SANTANDER,SUCRE,1892,BZ93,,
68780,SANTANDER,SURATA,1783,WEB.MUN,,
68820,SANTANDER,TONA,1809,WEB.MUN,,
68855,SANTANDER,VALLE,1724,WEB.MUN,,Today Valle De San Jose
68861,SANTANDER,VELEZ,1539,BZ93,,
68867,SANTANDER,VETAS,1555,BZ93,,
68872,SANTANDER,VILLANUEVA,1966,BZ93,,
68895,SANTANDER,ZAPATOCA,1743,BZ93,,
70001,BOLIVAR,SINCELEJO,1535,BZ93,,
70110,SUCRE,BUENAVISTA,1969,BZ93,,
70204,SUCRE,COLOSO,1907,BZ93,,
70230,SUCRE,CHALAN,1968,BZ93,,
70235,SUCRE,GALERAS,1968,BZ93,,
70429,BOLIVAR,MAJAGUAL,1814,BZ93,,
70670,BOLIVAR,SAMPUES,1538,BZ93,,
70678,BOLIVAR,SAN BENITO ABAD,1534,BZ93,,
70702,SUCRE,SAN JUAN DE BETULIA,1968,BZ93,,
70717,SUCRE,SAN PEDRO,1820,BZ93,,
70820,BOLIVAR,SANTIAGO DE TOLU,1535,BZ93,,
73001,TOLIMA,IBAGUE,1550,BZ93,,
73024,TOLIMA,ALPUJARRA,1768,BZ93,,
73026,TOLIMA,CALDAS,1540,WEB.MUN,1904,Today V. Alvarado. Fire in 1904
73030,TOLIMA,AMBALEMA,1627,BZ93,,
73043,TOLIMA,ANZOATEGUI,1895,BZ93,,
73055,TOLIMA,ARMERO,1881,BZ93,1845,
73067,TOLIMA,ATACO,1778,BZ93,,
73124,TOLIMA,SAN MIGUEL DE PERDOMO,1867,BZ93,1913,Today V. Cajamarca
73148,TOLIMA,CARMEN DE APICALA,1829,WEB.MUN,,Carmen De Apicala VS Carmen
73152,TOLIMA,CASABIANCA,1866,BZ93,,
73168,TOLIMA,CHAPARRAL,1770,BZ93,,
73200,TOLIMA,COELLO,1627,BZ93,,
73217,TOLIMA,COYAIMA,1778,WEB.MUN,,
73226,TOLIMA,CUNDAY,1794,WEB.MUN,,
73236,TOLIMA,DOLORES,1866,BZ93,,
73268,TOLIMA,ESPINAL,1754,BZ93,,
73270,TOLIMA,SANTANA,1640,WEB.MUN,,Today Falan)
73275,TOLIMA,FLANDES,1912,BZ93,,
73283,TOLIMA,FRESNO,1858,WEB.MUN,,
73319,TOLIMA,GUAMO,1772,BZ93,,
73347,TOLIMA,HERVEO,1870,BZ93,,
73349,TOLIMA,HONDA,1560,BZ93,,
73352,TOLIMA,ICONONZO,1888,BZ93,,
73408,TOLIMA,LERIDA,1690,BZ93,,
73411,TOLIMA,LIBANO,1866,BZ93,,
73443,TOLIMA,MARIQUITA,1551,BZ93,,
73449,TOLIMA,MELGAR,1720,BZ93,,
73461,TOLIMA,MURILLO,1872,BZ93,,
73483,TOLIMA,NATAGAIMA,1660,BZ93,,
73504,TOLIMA,ORTEGA,1572,BZ93,,
73547,TOLIMA,PIEDRAS,1780,BZ93,,
73563,TOLIMA,PRADO,1781,BZ93,,
73585,TOLIMA,PURIFICACION,1664,BZ93,,
73616,TOLIMA,RIOBLANCO,1900,BZ93,,
73622,TOLIMA,RONCESVALLES,1925,BZ93,,
73624,TOLIMA,ROVIRA,1570,BZ93,,
73675,TOLIMA,SAN ANTONIO,1820,BZ93,,
73678,TOLIMA,SAN LUIS,1780,BZ93,,
73686,TOLIMA,SANTA ISABEL,1893,BZ93,,
73770,TOLIMA,SUAREZ,1827,BZ93,1696,
73854,TOLIMA,VALLE DE SAN JUAN,1702,BZ93,,
73861,TOLIMA,VENADILLO,1560,WEB.MUN,,
73870,TOLIMA,VILLAHERMOSA,1875,BZ93,,
73873,TOLIMA,VILLARRICA,1926,BZ93,,
76001,VALLE DEL CAUCA,CALI,1536,BZ93,,
76020,VALLE DEL CAUCA,ALCALA,1891,BZ93,,
76036,VALLE DEL CAUCA,ANDALUCIA,1813,BZ93,,
76041,VALLE DEL CAUCA,ANSERMANUEVO,1539,WEB.MUN,,
76054,VALLE DEL CAUCA,ARGELIA,1904,BZ93,,
76100,VALLE DEL CAUCA,BOLIVAR,1884,BZ93,,
76109,VALLE DEL CAUCA,BUENAVENTURA,1539,BZ93,,
76111,VALLE DEL CAUCA,BUGA,1555,BZ93,,
76113,VALLE DEL CAUCA,BUGALAGRANDE,1886,WEB.MUN,,
76122,VALLE DEL CAUCA,CAICEDONIA,1910,BZ93,,
76126,VALLE DEL CAUCA,CALIMA,1912,BZ93,,
76130,VALLE DEL CAUCA,CANDELARIA,1545,BZ93,,
76147,VALLE DEL CAUCA,CARTAGO,1540,BZ93,,
76233,VALLE DEL CAUCA,DAGUA,1909,BZ93,,
76243,VALLE DEL CAUCA,EL AGUILA,1910,BZ93,,
76246,VALLE DEL CAUCA,EL CAIRO,1920,BZ93,,
76248,VALLE DEL CAUCA,EL CERRITO,1825,BZ93,,
76250,VALLE DEL CAUCA,EL DOVIO,1936,BZ93,,
76275,VALLE DEL CAUCA,FLORIDA,1825,BZ93,,
76306,VALLE DEL CAUCA,GINEBRA,1909,BZ93,,
76318,VALLE DEL CAUCA,GUACARI,1570,BZ93,,
76364,VALLE DEL CAUCA,JAMUNDI,1535,BZ93,,
76377,VALLE DEL CAUCA,LA CUMBRE,1852,BZ93,,
76400,VALLE DEL CAUCA,LA UNION,1604,WEB.MUN,,
76403,VALLE DEL CAUCA,LA VICTORIA,1835,BZ93,,
76520,VALLE DEL CAUCA,PALMIRA,1680,OTHER,,http://www.eltiempo.com/archivo/documento/MAM-360036
76563,VALLE DEL CAUCA,PRADERA,1863,BZ93,,
76606,VALLE DEL CAUCA,RESTREPO,1913,BZ93,,
76616,VALLE DEL CAUCA,RIOFRIO,1567,WEB.MUN,,
76622,VALLE DEL CAUCA,ROLDANILLO,1576,BZ93,,
76670,VALLE DEL CAUCA,SAN PEDRO,1812,BZ93,,
76736,VALLE DEL CAUCA,SEVILLA,1903,BZ93,,
76823,VALLE DEL CAUCA,TORO,1573,BZ93,,
76828,VALLE DEL CAUCA,TRUJILLO,1924,BZ93,,
76834,VALLE DEL CAUCA,TULUA,1637,BZ93,,
76845,VALLE DEL CAUCA,ULLOA,1922,BZ93,,
76863,VALLE DEL CAUCA,VERSALLES,1887,BZ93,,
76869,VALLE DEL CAUCA,VIJES,1539,BZ93,,
76890,VALLE DEL CAUCA,YOTOCO,1622,WEB.MUN,,
76892,VALLE DEL CAUCA,YUMBO,1536,BZ93,,
76895,VALLE DEL CAUCA,ZARZAL,1783,WEB.MUN,1909,Populated then recogniced as municipality
81794,BOYACA,TAME,1661,BZ93,,Today located in Arauca
85001,BOYACA,MARROQUIN,1786,OTHER,,Today part of Yopal. http://www.eltiempo.com/archivo/documento/MAM-773798
85136,BOYACA,LA SALINA,1780,WEB.MUN,1527,Founded by indigenous then recogniced as municipality
85225,BOYACA,NUNCHIA,1655,WEB.MUN,,
85259,BOYACA,MORENO,1850,WEB.MUN,1974,Today Paz De Ariporo
85263,BOYACA,PORE,1644,,,Today located in Casanare
85400,BOYACA,TAMARA,1628,WEB.MUN,,
86001,PUTUMAYO,MOCOA,1551,BZ93,,
86320,PUTUMAYO,ORITO,1960,BZ93,,
86568,PUTUMAYO,PUERTO ASIS,1912,BZ93,,
86573,PUTUMAYO,LEGUIZAMO,1920,BZ93,,
86755,PUTUMAYO,SAN FRANCISCO,1902,BZ93,,
86885,PUTUMAYO,VILLA GARZON,1950,BZ93,,
,BOYACA,TEN,,,,
